onset	duration	trial_type	stim_file
12.028	0.883	face	stimuli/visualarea_localizer/lcm/face10_lcm.png
13.028	0.883	face	stimuli/visualarea_localizer/lcm/face13_lcm.png
14.044	0.900	face	stimuli/visualarea_localizer/lcm/face12_lcm.png
15.061	0.883	face	stimuli/visualarea_localizer/lcm/face05_lcm.png
16.077	0.900	face	stimuli/visualarea_localizer/lcm/face15_lcm.png
17.093	0.883	face	stimuli/visualarea_localizer/lcm/face16_lcm.png
18.110	0.900	face	stimuli/visualarea_localizer/lcm/face21_lcm.png
19.126	0.883	face	stimuli/visualarea_localizer/lcm/face02_lcm.png
20.026	0.900	face	stimuli/visualarea_localizer/lcm/face09_lcm.png
21.042	0.883	face	stimuli/visualarea_localizer/lcm/face07_lcm.png
22.058	0.899	face	stimuli/visualarea_localizer/lcm/face24_lcm.png
23.075	0.883	face	stimuli/visualarea_localizer/lcm/face01_lcm.png
24.091	0.900	face	stimuli/visualarea_localizer/lcm/face22_lcm.png
25.107	0.883	face	stimuli/visualarea_localizer/lcm/face17_lcm.png
26.024	0.900	face	stimuli/visualarea_localizer/lcm/face14_lcm.png
27.040	0.883	face	stimuli/visualarea_localizer/lcm/face23_lcm.png
36.004	0.900	scene	stimuli/visualarea_localizer/lcm/scene04_lcm.png
37.020	0.883	scene	stimuli/visualarea_localizer/lcm/scene12_lcm.png
38.037	0.900	scene	stimuli/visualarea_localizer/lcm/scene24_lcm.png
39.053	0.883	scene	stimuli/visualarea_localizer/lcm/scene08_lcm.png
40.069	0.900	scene	stimuli/visualarea_localizer/lcm/scene02_lcm.png
41.086	0.883	scene	stimuli/visualarea_localizer/lcm/scene16_lcm.png
42.102	0.900	scene	stimuli/visualarea_localizer/lcm/scene05_lcm.png
43.118	0.883	scene	stimuli/visualarea_localizer/lcm/scene05_lcm_mirror.png
44.018	0.900	scene	stimuli/visualarea_localizer/lcm/scene11_lcm.png
45.034	0.883	scene	stimuli/visualarea_localizer/lcm/scene19_lcm.png
46.051	0.900	scene	stimuli/visualarea_localizer/lcm/scene07_lcm.png
47.067	0.883	scene	stimuli/visualarea_localizer/lcm/scene01_lcm.png
48.083	0.900	scene	stimuli/visualarea_localizer/lcm/scene13_lcm.png
49.100	0.883	scene	stimuli/visualarea_localizer/lcm/scene18_lcm.png
50.016	0.900	scene	stimuli/visualarea_localizer/lcm/scene17_lcm.png
51.032	0.883	scene	stimuli/visualarea_localizer/lcm/scene10_lcm.png
60.013	0.900	body	stimuli/visualarea_localizer/lcm/body23_lcm.png
61.029	0.883	body	stimuli/visualarea_localizer/lcm/body03_lcm.png
62.046	0.899	body	stimuli/visualarea_localizer/lcm/body24_lcm.png
63.062	0.883	body	stimuli/visualarea_localizer/lcm/body16_lcm.png
64.078	0.900	body	stimuli/visualarea_localizer/lcm/body22_lcm.png
65.095	0.883	body	stimuli/visualarea_localizer/lcm/body01_lcm.png
66.111	0.900	body	stimuli/visualarea_localizer/lcm/body20_lcm.png
67.127	0.883	body	stimuli/visualarea_localizer/lcm/body14_lcm.png
68.027	0.899	body	stimuli/visualarea_localizer/lcm/body11_lcm.png
69.043	0.883	body	stimuli/visualarea_localizer/lcm/body18_lcm.png
70.060	0.900	body	stimuli/visualarea_localizer/lcm/body06_lcm.png
71.076	0.883	body	stimuli/visualarea_localizer/lcm/body10_lcm.png
72.092	0.900	body	stimuli/visualarea_localizer/lcm/body08_lcm.png
73.109	0.883	body	stimuli/visualarea_localizer/lcm/body21_lcm.png
74.025	0.900	body	stimuli/visualarea_localizer/lcm/body17_lcm.png
75.041	0.883	body	stimuli/visualarea_localizer/lcm/body12_lcm.png
84.005	0.900	house	stimuli/visualarea_localizer/lcm/house14_lcm.png
85.022	0.883	house	stimuli/visualarea_localizer/lcm/house07_lcm.png
86.038	0.899	house	stimuli/visualarea_localizer/lcm/house17_lcm.png
87.054	0.883	house	stimuli/visualarea_localizer/lcm/house23_lcm.png
88.071	0.899	house	stimuli/visualarea_localizer/lcm/house02_lcm.png
89.087	0.883	house	stimuli/visualarea_localizer/lcm/house08_lcm.png
90.103	0.900	house	stimuli/visualarea_localizer/lcm/house11_lcm.png
91.120	0.883	house	stimuli/visualarea_localizer/lcm/house10_lcm.png
92.019	0.900	house	stimuli/visualarea_localizer/lcm/house15_lcm.png
93.036	0.883	house	stimuli/visualarea_localizer/lcm/house03_lcm.png
94.052	0.900	house	stimuli/visualarea_localizer/lcm/house18_lcm.png
95.068	0.883	house	stimuli/visualarea_localizer/lcm/house19_lcm.png
96.085	0.900	house	stimuli/visualarea_localizer/lcm/house01_lcm.png
97.101	0.883	house	stimuli/visualarea_localizer/lcm/house24_lcm.png
98.018	0.899	house	stimuli/visualarea_localizer/lcm/house21_lcm.png
